id,Row#,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,yield
27,203.0,12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.595052932,0.493257523,41.05919357,7771.01027
28,270.0,12.5,0.25,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.568853507,0.463561831,39.18675925,6480.80815
29,597.0,25.0,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.459087683,0.426678021,33.97729329,5492.81699
30,407.0,12.5,0.25,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.57467888,0.482874674,40.55501923,7608.62182
31,669.0,25.0,0.5,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.498729997,0.427937649,35.92331365,6030.98074
32,181.0,12.5,0.25,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.525063322,0.461801728,37.87903588,6443.2569
33,773.0,25.0,0.5,0.38,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.527742687,0.464892019,37.83085922,6320.23893
34,742.0,25.0,0.5,0.38,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.594364445,0.491414051,41.3159122,7570.48492
35,471.0,25.0,0.5,0.25,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.479635345,0.436777234,34.87598919,5527.42503
36,634.0,25.0,0.5,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.4693892,0.422918386,34.97653895,5504.75083
37,438.0,25.0,0.5,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.532627825,0.468896154,38.65527495,6696.23571
38,752.0,25.0,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.479449351,0.416280584,35.92331365,5747.56017
39,154.0,12.5,0.25,0.25,0.38,0.38,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.502842336,0.42912225,35.39214139,5837.21503
40,274.0,12.5,0.25,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.548124898,0.44549439,36.95787336,6846.00686
41,281.0,12.5,0.25,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.464260194,0.42801212,33.3406292,5867.99722
42,565.0,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.506987743,0.450692194,36.97636061,5718.40817
43,676.0,20.0,0.0,0.117,0.409,0.058,77.4,46.8,64.7,55.8,27.0,45.8,3.77,0.06,0.401490054,0.401719969,30.60468328,4393.52743
44,184.0,12.5,0.25,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.458246439,0.409033913,31.92881551,5865.38472
45,445.0,12.5,0.25,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.564794821,0.476836137,39.22848885,6994.24801
46,37.0,37.5,0.75,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.469631675,0.438875462,34.77772061,5492.81699
47,322.0,12.5,0.25,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.583077181,0.485989695,40.57450377,7101.75783
48,309.0,12.5,0.25,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.488485703,0.417908804,34.83881461,5663.06579
49,633.0,25.0,0.5,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.492994856,0.446570029,35.18441169,5632.45917
50,545.0,25.0,0.5,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.473458531,0.435851115,34.87061011,5605.221
51,577.0,25.0,0.5,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.334593591,0.376880162,28.23425966,3385.36422
52,552.0,25.0,0.5,0.25,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.476911433,0.438231396,36.6742427,5217.13976
53,414.0,12.5,0.25,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.511750776,0.411271911,36.04045222,6274.93484
54,741.0,25.0,0.5,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.480386371,0.437062839,34.74349354,5807.00693
55,678.0,25.0,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.493693466,0.409907136,32.31099546,8969.40184
56,109.0,12.5,0.25,0.25,0.25,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.583378727,0.491813116,40.18721608,7669.81182
57,460.0,25.0,0.5,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.390063566,0.395893563,31.10161493,4057.55521
58,671.0,25.0,0.5,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.496618271,0.424874062,35.51371293,5501.87808
59,238.0,12.5,0.25,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.62677511,0.51715975,43.95536146,8413.65966
60,47.0,25.0,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.40294843,0.401236607,30.79374092,4232.76231
61,42.0,37.5,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.447668818,0.425220363,33.12546719,5830.89362
62,468.0,25.0,0.5,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.376670148,0.399556226,28.55641695,3387.78516
63,385.0,12.5,0.25,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.583378727,0.484588902,40.92210139,7219.76039
64,91.0,12.5,0.25,0.25,0.25,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.494677622,0.450786211,36.81018683,5948.11447
65,596.0,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.473458531,0.433195442,34.76957798,5333.87334
66,437.0,12.5,0.25,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.466974086,0.411220309,32.59242207,5428.10602
67,23.0,25.0,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.254794508,0.339287728,28.23425966,2605.69676
68,45.0,25.0,0.25,0.25,0.25,0.38,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.464365879,0.412661872,33.3649925,5636.30874
69,154.0,12.5,0.25,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.384646205,0.375616334,29.55801912,5729.71505
70,445.0,12.5,0.25,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.638323095,0.509645194,42.13008169,7825.87492
71,672.0,25.0,0.5,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.532728714,0.463275619,38.34178123,6671.07264
72,340.0,12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.594836828,0.491124144,40.22738685,7071.83395
73,675.0,25.0,0.5,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.514086408,0.452074913,36.62496616,5715.0084
74,599.0,25.0,0.5,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.470593127,0.418867231,33.3532206,5807.00693
75,31.0,25.0,0.25,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.425493214,0.444703745,36.21076317,4560.22361
76,685.0,25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.506793789,0.450498441,36.82658691,6180.95142
77,407.0,12.5,0.25,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.465538066,0.404869033,32.59242207,5236.03334
78,728.0,25.0,0.5,0.38,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.483249032,0.424902006,34.0390339,5739.92493
79,633.0,25.0,0.5,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.473249032,0.430330293,35.72822346,5746.77703
80,723.0,25.0,0.5,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.464824509,0.404575636,32.81196654,5154.97591
81,583.0,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.447668818,0.426773305,33.23980604,4870.62537
82,81.0,12.5,0.25,0.25,0.25,0.38,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.485336051,0.42782472,33.74349354,5996.07855
83,675.0,25.0,0.5,0.38,0.38,0.38,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.502842336,0.410575532,35.28592597,6394.07791
84,575.0,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.481204499,0.418732102,34.69390641,5971.39402
85,403.0,12.5,0.25,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.566350244,0.486816771,39.85898134,7706.88137
86,664.0,25.0,0.5,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.403217329,0.408088064,31.07883034,4433.53697
87,710.0,25.0,0.5,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.568853507,0.488638858,39.81661146,7793.44206
88,361.0,12.5,0.25,0.38,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.571708025,0.488638858,39.82088488,6754.44894
89,71.0,12.5,0.25,0.25,0.25,0.38,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.464368945,0.433195442,33.23980604,5772.91016
90,636.0,25.0,0.5,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.479826829,0.438514042,34.87598919,5498.46022
91,106.0,12.5,0.25,0.25,0.25,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.51884433,0.460322355,37.74750888,6320.96112
92,13.0,37.5,0.75,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.517169415,0.459420676,36.63337572,6187.95188
93,478.0,12.5,0.25,0.25,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.625727004,0.61854944,45.80306982,8247.52116
94,244.0,12.5,0.25,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.62818447,0.511834352,44.57214339,8489.69192
95,178.0,12.5,0.25,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.397278517,0.395502524,31.11988062,4178.77206
96,416.0,12.5,0.25,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.595948108,0.490467439,41.35738644,7007.66825
97,535.0,25.0,0.5,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.490016595,0.442789316,35.46687387,5946.05226
98,744.0,12.5,0.25,0.38,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.601357636,0.498478897,41.48453443,7924.51678
99,652.0,25.0,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.58492102,0.441974474,37.77937909,6846.00686
100,449.0,25.0,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.53513718,0.44252903,35.50033008,7425.75194
101,384.0,12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.476807761,0.438586418,34.33876109,5569.13925
102,287.0,12.5,0.25,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.612209289,0.502062222,42.63998621,7400.77538
103,127.0,12.5,0.25,0.25,0.25,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.444908279,0.42727728,33.28905228,5063.85109
104,743.0,25.0,0.5,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.4096968,0.394461774,31.59741611,4340.82151
105,712.0,25.0,0.5,0.38,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.610860604,0.504056677,43.67027165,8212.79289
106,674.0,25.0,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.487075422,0.433844688,34.68201491,5739.68029
107,391.0,12.5,0.25,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.509158377,0.450498441,36.95787336,6449.04157
108,482.0,25.0,0.5,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.49368953,0.446912521,35.88512085,5946.15842
109,698.0,25.0,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.559628479,0.473088807,39.81661146,6929.5548
110,683.0,25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.498058212,0.443504,35.09473308,5643.36045
111,621.0,25.0,0.5,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.448841436,0.398116316,31.88184658,5830.48855
112,91.0,12.5,0.25,0.25,0.25,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.610860604,0.506002075,42.50852244,7969.02575
113,712.0,25.0,0.5,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.492994856,0.441470296,35.64822051,5735.13303
114,583.0,12.5,0.25,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.502621602,0.442193092,36.46620322,6254.65511
115,241.0,12.5,0.25,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.592156153,0.488568502,40.39944387,7048.87072
116,665.0,25.0,0.5,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.490965919,0.44252903,35.55511529,5063.85109
117,591.0,25.0,0.5,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.541564813,0.463502091,35.46687387,6249.47082
118,314.0,12.5,0.25,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.509158377,0.455404808,36.46620322,6189.7798
119,320.0,12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.600435148,0.500647106,41.72079694,7521.71436
120,522.0,25.0,0.5,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.494584864,0.444703745,35.8744954,5791.45673
121,672.0,25.0,0.5,0.38,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.385021951,0.383377956,29.55801912,3923.90628
122,427.0,12.5,0.25,0.38,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.603545036,0.502062222,42.48753914,7231.02778
123,264.0,12.5,0.25,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.502621602,0.450498441,36.11395452,6132.41738
124,685.0,25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.565239387,0.474798231,39.4849869,7434.34904
125,63.0,12.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.476054066,0.417915449,32.79766623,5333.97357
126,265.0,12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.547743879,0.464066853,38.70734774,6643.9019
127,23.0,25.0,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.353235517,0.388819023,28.28409524,3494.94296
128,708.0,25.0,0.5,0.38,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.538550337,0.463064582,37.75813832,6236.70711
129,592.0,25.0,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.450102564,0.406869398,32.31099546,5128.16351
130,708.0,25.0,0.5,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.523845567,0.464892019,37.67828481,6315.23321
131,462.0,25.0,0.5,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.392583006,0.394971427,30.54294428,4057.55521
132,576.0,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.451103585,0.464639165,37.7247238,5862.80545
133,158.0,12.5,0.25,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.464972316,0.436777234,33.49849454,5876.96001
134,331.0,12.5,0.25,0.25,0.75,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.605758307,0.500029301,41.97181605,7122.49056
135,337.0,12.5,0.25,0.25,0.75,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.526681768,0.438669933,36.82816896,6708.24129
136,398.0,12.5,0.25,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.58492102,0.498475898,41.36318078,7415.89441
137,695.0,25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.525063322,0.45807618,37.55556802,6683.20061
138,541.0,25.0,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.466297848,0.424874062,34.15934595,5236.03334
139,613.0,25.0,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.57467888,0.449306369,40.57450377,7888.41493
140,568.0,25.0,0.5,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.437188153,0.416280584,32.28899894,4769.31827
141,699.0,25.0,0.5,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.463097152,0.429710486,33.74349354,4572.12637
142,696.0,25.0,0.5,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.49154744,0.444587916,35.64822051,5529.06614
143,587.0,25.0,0.5,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.489326401,0.417545412,34.66515546,5199.53404
144,31.0,25.0,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.346410766,0.388821721,28.13589892,3496.35236
145,466.0,25.0,0.5,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,3.77,0.06,0.337022711,0.37863215,28.43820263,3502.08292
146,741.0,25.0,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.424574228,0.43494618,31.44841986,4560.22361
147,562.0,25.0,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.376009787,0.394606103,30.12737627,3708.20502
148,322.0,12.5,0.25,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.613333283,0.50404651,42.02254143,7183.10038
149,14.0,25.0,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.320417393,0.377566465,27.10639138,3049.39771
150,317.0,12.5,0.25,0.25,0.75,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.598281018,0.494164753,41.76622653,7235.77564
151,423.0,12.5,0.25,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.619006054,0.510839162,43.33629767,8090.41713
152,483.0,25.0,0.5,0.25,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.483872542,0.445474763,34.52656124,5773.62581
153,33.0,25.0,0.25,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.320417393,0.372338285,27.40175511,3049.26032
154,234.0,12.5,0.25,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.483249032,0.41985155,34.02922281,5966.71128
155,541.0,25.0,0.5,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.498218761,0.443956594,35.46687387,5932.23909
156,94.0,12.5,0.25,0.25,0.25,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.449875425,0.398804938,31.78225878,5004.15434
157,446.0,25.0,0.5,0.25,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.393394771,0.408088064,31.38338142,4356.94587
158,160.0,12.5,0.25,0.25,0.38,0.38,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.507541905,0.461179325,37.54210856,6131.30938
159,296.0,12.5,0.25,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.530112463,0.462760521,37.7247238,6465.37205
160,486.0,25.0,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.50476135,0.450498441,36.57388769,6235.45278
161,611.0,25.0,0.5,0.25,0.75,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.570329618,0.485912698,40.81318096,7416.70776
162,545.0,25.0,0.5,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.480386371,0.433844688,35.41408191,5446.69747
163,275.0,12.5,0.25,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.498696418,0.448597173,36.94898618,5948.11447
164,541.0,25.0,0.5,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.447040787,0.416537797,32.74377319,4865.39997
165,524.0,25.0,0.5,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.439101795,0.417915449,31.86773783,5128.16351
166,547.0,25.0,0.5,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.490016595,0.44252903,35.27931173,5503.09583
